File: 10_0.png, Recognized Text: k
File: 10_1.png, Recognized Text: Pe
File: 10_2.png, Recognized Text: u
File: 10_3.png, Recognized Text: p
File: 10_4.png, Recognized Text: 3
File: 10_5.png, Recognized Text: K
File: 11_0.png, Recognized Text: 8
File: 11_1.png, Recognized Text: k
File: 11_2.png, Recognized Text: y
File: 11_3.png, Recognized Text: 4
File: 11_4.png, Recognized Text: a
File: 11_5.png, Recognized Text: E
File: 12_0.png, Recognized Text: c
File: 12_1.png, Recognized Text: Q
File: 12_2.png, Recognized Text: B
File: 12_3.png, Recognized Text: h
File: 12_4.png, Recognized Text: H
File: 12_5.png, Recognized Text: y
File: 13_0.png, Recognized Text: v
File: 13_1.png, Recognized Text: U
File: 13_2.png, Recognized Text: d
File: 13_3.png, Recognized Text: z
File: 13_4.png, Recognized Text: e
File: 13_5.png, Recognized Text: 3
File: 14_0.png, Recognized Text: 3
File: 14_1.png, Recognized Text: A
File: 14_2.png, Recognized Text: a
File: 14_3.png, Recognized Text: 4
File: 14_4.png, Recognized Text: B
File: 14_5.png, Recognized Text: Q
File: 15_0.png, Recognized Text: 8
File: 15_1.png, Recognized Text: N
File: 15_2.png, Recognized Text: y
File: 15_3.png, Recognized Text: v
File: 15_4.png, Recognized Text: 9
File: 15_5.png, Recognized Text: 
File: 16_0.png, Recognized Text: m
File: 16_1.png, Recognized Text: u
File: 16_2.png, Recognized Text: 5
File: 16_3.png, Recognized Text: n
File: 16_4.png, Recognized Text: n
File: 16_5.png, Recognized Text: iN
File: 17_0.png, Recognized Text: 3
File: 17_1.png, Recognized Text: Pp
File: 17_2.png, Recognized Text: Y
File: 17_3.png, Recognized Text: u
File: 17_4.png, Recognized Text: B
File: 17_5.png, Recognized Text: d
File: 18_0.png, Recognized Text: z
File: 18_1.png, Recognized Text: Q
File: 18_2.png, Recognized Text: y
File: 18_3.png, Recognized Text: a
File: 18_4.png, Recognized Text: H
File: 18_5.png, Recognized Text: 5
File: 19_0.png, Recognized Text: d
File: 19_1.png, Recognized Text: B
File: 19_2.png, Recognized Text: N
File: 19_3.png, Recognized Text: g
File: 19_4.png, Recognized Text: Q
File: 19_5.png, Recognized Text: 3
File: 1_0.png, Recognized Text: 6
File: 1_1.png, Recognized Text: D
File: 1_2.png, Recognized Text: b
File: 1_3.png, Recognized Text: 4
File: 1_4.png, Recognized Text: A
File: 1_5.png, Recognized Text: v
File: 20_0.png, Recognized Text: H
File: 20_1.png, Recognized Text: Zz
File: 20_2.png, Recognized Text: h
File: 20_3.png, Recognized Text: G
File: 20_4.png, Recognized Text: 
File: 20_5.png, Recognized Text: A
File: 21_0.png, Recognized Text: E
File: 21_1.png, Recognized Text: c
File: 21_2.png, Recognized Text: Q
File: 21_3.png, Recognized Text: e
File: 21_4.png, Recognized Text: v
File: 21_5.png, Recognized Text: a
File: 22_0.png, Recognized Text: le
File: 22_1.png, Recognized Text: v
File: 22_2.png, Recognized Text: U
File: 22_3.png, Recognized Text: u
File: 22_4.png, Recognized Text: t
File: 22_5.png, Recognized Text: H
File: 23_0.png, Recognized Text: 3
File: 23_1.png, Recognized Text: Q
File: 23_2.png, Recognized Text: E
File: 23_3.png, Recognized Text: z
File: 23_4.png, Recognized Text: D
File: 23_5.png, Recognized Text: Y
File: 24_0.png, Recognized Text: i
File: 24_1.png, Recognized Text: V
File: 24_2.png, Recognized Text: 7
File: 24_3.png, Recognized Text: G
File: 24_4.png, Recognized Text: z
File: 24_5.png, Recognized Text: d
File: 25_0.png, Recognized Text: h
File: 25_1.png, Recognized Text: u
File: 25_2.png, Recognized Text: z
File: 25_3.png, Recognized Text: z
File: 25_4.png, Recognized Text: f
File: 25_5.png, Recognized Text: a
File: 26_0.png, Recognized Text: lu
File: 26_1.png, Recognized Text: z
File: 26_2.png, Recognized Text: G
File: 26_3.png, Recognized Text: 3
File: 26_4.png, Recognized Text: 8
File: 26_5.png, Recognized Text: y
File: 28_0.png, Recognized Text: 
File: 28_1.png, Recognized Text: p
File: 28_2.png, Recognized Text: 7
File: 28_3.png, Recognized Text: b
File: 28_4.png, Recognized Text: c
File: 28_5.png, Recognized Text: 7
File: 29_0.png, Recognized Text: 5
File: 29_1.png, Recognized Text: y
File: 29_2.png, Recognized Text: 3
File: 29_3.png, Recognized Text: a
File: 29_4.png, Recognized Text: K
File: 29_5.png, Recognized Text: u
File: 2_0.png, Recognized Text: 2
File: 2_1.png, Recognized Text: 1
File: 2_2.png, Recognized Text: q
File: 2_3.png, Recognized Text: 0g
File: 2_4.png, Recognized Text: Y
